id,start,end,session,chair,title,authors,presenter,type
506,,,Accepted Posters (15:20 - 16:20 both days) ,,A Multi-scale Approach for Biological Graph Visualization: Local Analysis in Global Context,"Fahd Husain, Rosa Romero Gomez, Dario Segura, Adamo Carolli, Lai Chung Liu, Manfred Cheung and Yohann Paris",,poster
507,,,Accepted Posters (15:20 - 16:20 both days) ,,Grammar-Based Interactive Visualization of Genomics Data,"Sehi L'Yi, Qianwen Wang, Fritz Lekschas and Nils Gehlenborg",,poster
509,,,Accepted Posters (15:20 - 16:20 both days) ,,An Extensive Visualization Suite for Pathway/Genome Databases,Peter Karp and Suzanne Paley,,poster
527,,,Accepted Posters (15:20 - 16:20 both days) ,,Interactive multiscale microscopy visualization on the web with Viv,"Trevor Manz, Nils Gehlenborg, Mark Keller, Ilan Gold and Chuck Mccallum",,poster
580,,,Accepted Posters (15:20 - 16:20 both days) ,,State-based Visual Analysis of Disease Progression with ThreadStates,"Qianwen Wang, Tali Mazor, Theresa Anisja Harbig, Ethan Cerami and Nils Gehlenborg",,poster
613,,,Accepted Posters (15:20 - 16:20 both days) ,,Python and R packages for Interactive Visualization of Spatial Single-Cell Omics Data,"Mark Keller, Trevor Manz, Tessa Han, Ilan Gold, Chuck McCallum and Nils Gehlenborg",,poster
661,,,Accepted Posters (15:20 - 16:20 both days) ,,Explaining Deep Learning Approaches in Drug Repurposing through Interactive Data Visualization,"Qianwen Wang, Kexin Huang, Payal Chandak, Marinka Zitnik and Nils Gehlenborg",,poster
675,,,Accepted Posters (15:20 - 16:20 both days) ,,"PhosProViz: A web-based tool to generate, explore, and share interactive phosphoproteomics networks","Shreya Chandrasekar, Irene Font Peradejordi, Berk Turhan, Selim Kalayci, Jeffrey Johnson and Zeynep H. Gümüş",,poster
719,,,Accepted Posters (15:20 - 16:20 both days) ,,Lower Dimensional Representation for Spatial Transcriptomics Data in Hyperbolic Space,Mayank Musaddi and Anant Agarwal,,poster
791,,,Accepted Posters (15:20 - 16:20 both days) ,,CovRadar: Continuously tracking and filtering SARS-CoV-2 mutations for molecular surveillance,"Alice Wittig, Fábio Malcher Miranda, Martin Hölzer, Tom Altenburg, Jakub Bartoszewicz, Marius Dieckmann, Ulrich Genske, Sven Giese, Melania Nowicka, Henning Schiebenhoefer, Anna-Juliane Schmachtenberg, Ming Tang, Bernhard Renard and Stephan Fuchs",,poster
